iter	Passed	Remaining
529	674	597
530	675	596
531	676	594
532	677	593
533	678	592
534	679	590
535	680	589
536	682	588
537	683	586
538	684	585
539	684	583
540	685	581
541	685	579
542	686	577
543	686	575
544	687	573
545	687	571
546	688	569
547	688	567
548	689	566
549	689	564
550	689	562
551	691	561
552	692	559
553	693	558
554	694	556
555	695	555
556	696	554
557	698	552
558	699	551
559	700	550
560	702	549
561	703	548
562	704	546
563	705	545
564	706	544
565	708	542
566	709	541
567	710	540
568	712	539
569	714	538
570	714	536
571	715	535
572	716	534
573	717	532
574	718	530
575	719	529
576	720	528
577	721	527
578	722	525
579	723	523
580	724	522
581	725	521
582	726	519
583	727	518
584	729	517
585	729	515
586	731	514
587	732	513
588	733	511
589	734	510
590	735	509
591	737	508
592	738	507
593	739	505
594	740	504
595	741	502
596	742	501
597	744	500
598	745	498
599	746	497
600	747	496
601	749	495
602	750	494
603	751	492
604	752	491
605	753	490
606	754	488
607	756	487
608	757	486
609	758	484
610	759	483
611	760	481
612	761	480
613	762	479
614	763	478
615	764	476
616	766	475
617	767	474
618	768	472
619	769	471
620	770	470
621	771	468
622	772	467
623	773	465
624	774	464
625	775	463
626	776	461
627	778	460
628	779	459
629	780	458
630	781	456
631	781	455
632	782	453
633	783	452
634	784	450
635	786	450
636	787	448
637	789	447
638	790	446
639	791	445
640	792	443
641	793	442
642	794	440
643	795	439
644	796	438
645	797	436
646	798	435
647	799	434
648	800	433
649	801	431
650	803	430
651	804	429
652	805	427
653	805	426
654	806	424
655	807	423
656	809	422
657	809	420
658	810	419
659	811	417
660	812	416
661	814	415
662	814	413
663	815	412
664	816	411
665	817	410
666	818	408
667	820	407
668	821	406
669	822	405
670	822	403
671	824	402
672	825	401
673	826	399
674	827	398
675	828	397
676	829	395
677	830	394
678	831	393
679	832	391
680	833	390
681	834	389
682	835	387
683	836	386
684	838	385
685	839	384
686	840	382
687	841	381
688	842	380
689	843	379
690	845	377
691	845	376
692	846	375
693	847	373
694	849	372
695	850	371
696	851	370
697	852	368
698	853	367
699	855	366
700	856	365
701	857	364
702	858	362
703	859	361
704	860	360
705	861	358
706	862	357
707	863	356
708	864	354
709	865	353
710	866	352
711	867	350
712	868	349
713	869	348
714	870	347
715	871	345
716	872	344
717	873	343
718	874	341
719	876	340
720	877	339
721	878	338
722	879	336
723	880	335
724	881	334
725	882	333
726	883	331
727	884	330
728	885	329
729	886	327
730	887	326
731	888	325
732	888	323
733	890	322
734	891	321
735	892	320
736	893	318
737	894	317
738	896	316
739	897	315
740	898	313
741	899	312
742	900	311
743	901	310
744	902	308
745	903	307
746	904	306
747	904	304
748	905	303
749	906	302
750	906	300
751	907	299
752	907	297
753	908	296
754	910	295
755	911	294
756	913	293
757	913	291
758	915	290
759	916	289
760	917	288
761	918	286
762	919	285
763	920	284
764	921	283
765	922	281
766	924	280
767	925	279
768	926	278
769	927	277
770	928	275
771	929	274
772	931	273
773	931	272
774	932	270
775	933	269
776	934	268
777	936	267
778	937	266
779	938	264
780	939	263
781	940	262
782	941	260
783	942	259
784	943	258
785	944	257
786	946	256
787	947	254
788	949	253
789	949	252
790	950	251
791	952	250
792	953	248
793	954	247
794	956	246
795	957	245
796	958	244
797	959	242
798	960	241
799	962	240
800	963	239
801	964	238
802	966	237
803	967	235
804	968	234
805	969	233
806	971	232
807	972	231
808	973	229
809	974	228
810	976	227
811	977	226
812	978	225
813	980	224
814	981	222
815	983	221
816	984	220
817	985	219
818	987	218
819	988	216
820	989	215
821	990	214
822	992	213
823	993	212
824	994	210
825	995	209
826	997	208
827	998	207
828	1000	206
829	1001	205
830	1002	203
831	1003	202
832	1004	201
833	1006	200
834	1007	199
835	1008	197
836	1009	196
837	1010	195
838	1012	194
839	1013	193
840	1015	191
841	1016	190
842	1019	189
843	1021	188
844	1022	187
845	1024	186
846	1025	185
847	1027	184
848	1028	182
849	1030	181
850	1031	180
851	1032	179
852	1034	178
853	1035	177
854	1036	175
855	1037	174
856	1038	173
857	1040	172
858	1041	170
859	1043	169
860	1044	168
861	1045	167
862	1046	166
863	1048	164
864	1049	163
865	1050	162
866	1051	161
867	1053	160
868	1054	158
869	1055	157
870	1056	156
871	1057	155
872	1058	153
873	1059	152
874	1060	151
875	1062	150
876	1063	149
877	1064	147
878	1066	146
879	1067	145
880	1069	144
881	1070	143
882	1072	142
883	1073	140
884	1074	139
885	1076	138
886	1077	137
887	1079	136
888	1080	134
889	1081	133
890	1082	132
891	1083	131
892	1085	130
893	1086	128
894	1088	127
895	1089	126
896	1091	125
897	1093	124
898	1095	123
899	1096	121
900	1098	120
901	1099	119
902	1100	118
903	1102	117
904	1103	115
905	1104	114
906	1106	113
907	1107	112
908	1108	110
909	1110	109
910	1111	108
911	1112	107
912	1113	106
913	1115	104
914	1116	103
915	1117	102
916	1119	101
917	1120	100
918	1122	98
919	1123	97
920	1124	96
921	1126	95
922	1127	94
923	1129	92
924	1130	91
925	1131	90
926	1133	89
927	1135	88
928	1136	86
929	1137	85
930	1139	84
931	1140	83
932	1142	82
933	1144	80
934	1145	79
935	1148	78
936	1149	77
937	1150	76
938	1151	74
939	1152	73
940	1154	72
941	1155	71
942	1156	69
943	1157	68
944	1160	67
945	1161	66
946	1163	65
947	1164	63
948	1165	62
949	1167	61
950	1168	60
951	1170	58
952	1171	57
953	1172	56
954	1173	55
955	1175	54
956	1176	52
957	1177	51
958	1179	50
959	1180	49
960	1182	47
961	1183	46
962	1184	45
963	1186	44
964	1187	43
965	1189	41
966	1190	40
967	1191	39
968	1193	38
969	1194	36
970	1195	35
971	1196	34
972	1198	33
973	1199	32
974	1200	30
975	1202	29
976	1203	28
977	1205	27
978	1206	25
979	1208	24
980	1209	23
981	1211	22
982	1212	20
983	1213	19
984	1218	18
985	1221	17
986	1223	16
987	1227	14
988	1228	13
989	1230	12
990	1231	11
991	1232	9
992	1234	8
993	1235	7
994	1237	6
995	1239	4
996	1240	3
997	1241	2
998	1243	1
999	1245	0
