iter	Logloss
0	0.6877111449
1	0.6834574014
2	0.6792638593
3	0.6744456314
4	0.6702172989
5	0.6642112452
6	0.659567755
7	0.6555990381
8	0.6507159657
9	0.6481809841
10	0.6442878599
11	0.6400530128
12	0.6355044144
13	0.6310632516
14	0.6265843668
15	0.6215633334
16	0.6168790552
17	0.6136561691
18	0.6092456851
19	0.6052523855
20	0.6013480444
21	0.5980053842
22	0.5960955387
23	0.5927810416
24	0.58897383
25	0.5852543703
26	0.5820585175
27	0.5793087403
28	0.5752681523
29	0.5719978583
30	0.5686006987
31	0.5661910246
32	0.563076711
33	0.5603647032
34	0.5576702157
35	0.5545124037
36	0.5516981126
37	0.5495762284
38	0.5468989268
39	0.5442863822
40	0.5424124356
41	0.5399435035
42	0.538702865
43	0.5373717328
44	0.5345381815
45	0.5314173062
46	0.5285761364
47	0.5264251023
48	0.5241060428
49	0.5214843998
50	0.5193360303
51	0.5172427988
52	0.5159848836
53	0.514371232
54	0.5124917882
55	0.5106131113
56	0.5087157624
57	0.5064417366
58	0.5039158687
59	0.5023326983
60	0.500277805
61	0.4988417505
62	0.4968692847
63	0.495169834
64	0.4934360677
65	0.4925236292
66	0.4915321728
67	0.4894888281
68	0.4878855346
69	0.4864335266
70	0.4845922341
71	0.4834063882
72	0.4818677977
73	0.480314322
74	0.4785259533
75	0.4768325808
76	0.4760855715
77	0.4747393725
78	0.4736198867
79	0.4719332406
80	0.4712439806
81	0.4699832953
82	0.4684284356
83	0.4669046482
84	0.4657299366
85	0.4644512046
86	0.4638340336
87	0.4624193886
88	0.4610099586
89	0.4596709567
90	0.458659382
91	0.4576349164
92	0.4563406474
93	0.4559116211
94	0.4548079375
95	0.4540529018
96	0.4530051744
97	0.4523570411
98	0.451231804
99	0.4505199338
100	0.4497725041
101	0.4489783452
102	0.4481436211
103	0.4471386217
104	0.4461645171
105	0.4455700592
106	0.4449945986
107	0.4439427189
108	0.4434213578
109	0.4423720211
110	0.4420068421
111	0.4407596331
112	0.4397676591
113	0.4389054286
114	0.4384216762
115	0.4372944204
116	0.4363470352
117	0.4354051351
118	0.4350880029
119	0.4341060805
120	0.4336544078
121	0.433158379
122	0.4323780827
123	0.4314512275
124	0.4307047605
125	0.4304772641
126	0.4296964161
127	0.4289897574
128	0.428145999
129	0.4273702859
130	0.4268010234
131	0.4265780975
132	0.4256392445
133	0.4253482824
134	0.4246714375
135	0.4243394753
136	0.4237370115
137	0.4231100092
138	0.4223014079
139	0.4220269127
140	0.4214616374
141	0.4205930191
142	0.4196414467
143	0.4189888082
144	0.4186713532
145	0.4178659234
146	0.4171596242
147	0.4165009532
148	0.4156812624
149	0.415091697
150	0.4145837404
151	0.413979716
152	0.4132822767
153	0.4125837741
154	0.4118176019
155	0.4117414231
156	0.4112479093
157	0.4109376284
158	0.4102448315
159	0.4096647503
160	0.4093292564
161	0.4090166383
162	0.4084767237
163	0.4083636714
164	0.4077273569
165	0.4074112021
166	0.4071301189
167	0.4065233751
168	0.4058579813
169	0.4053327293
170	0.4052216843
171	0.4047072543
172	0.404104834
173	0.4037807939
174	0.4033827387
175	0.4030172014
176	0.4027564087
177	0.402393966
178	0.402250969
